,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,9,Alsmeier Lina ,OH,5,2,2,9,33.33,GER,BLOCK,0,0,16024,
1,21,Weitzel Camilla ,MB,4,4,9,17,0.00,GER,BLOCK,0,0,16024,
2,12,Orthmann Hanna ,OH,1,1,5,7,0.00,GER,BLOCK,0,0,16024,
3,22,Strubbe Monique ,MB,1,1,2,4,0.00,GER,BLOCK,0,0,16024,
4,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,BLOCK,0,0,16024,
5,2,Kästner Pia ,S,0,5,2,7,-71.43,GER,BLOCK,0,0,16024,
6,3,Cesar Annie ,L,0,0,0,0,,GER,BLOCK,0,0,16024,
7,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,0,0,16024,
8,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,0,0,16024,
9,6,Stautz Antonia ,OH,0,0,0,0,,GER,BLOCK,0,0,16024,
10,10,Stigrot Lena ,OH,0,2,4,6,-33.33,GER,BLOCK,0,0,16024,
11,14,Schölzel Marie ,MB,0,3,2,5,-60.00,GER,BLOCK,0,0,16024,
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,GER,BLOCK,0,0,16024,
0,9,Alsmeier Lina ,OH,2,1,0,3,33.33,GER,BLOCK,1,25,16024,1
1,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,BLOCK,1,25,16024,1
2,2,Kästner Pia ,S,0,2,1,3,-66.67,GER,BLOCK,1,25,16024,1
3,3,Cesar Annie ,L,0,0,0,0,,GER,BLOCK,1,25,16024,1
4,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,1,25,16024,1
5,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,1,25,16024,1
6,6,Stautz Antonia ,OH,0,0,0,0,,GER,BLOCK,1,25,16024,1
7,10,Stigrot Lena ,OH,0,1,2,3,-33.33,GER,BLOCK,1,25,16024,1
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,BLOCK,1,25,16024,1
9,14,Schölzel Marie ,MB,0,2,2,4,-50.00,GER,BLOCK,1,25,16024,1
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,1,25,16024,1
11,21,Weitzel Camilla ,MB,0,0,3,3,0.00,GER,BLOCK,1,25,16024,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,BLOCK,1,25,16024,1
13,25,Maase Rica ,O,0,0,0,0,,GER,BLOCK,1,25,16024,1
0,9,Alsmeier Lina ,OH,2,0,0,2,100.00,GER,BLOCK,2,25,16024,1
1,21,Weitzel Camilla ,MB,1,1,0,2,0.00,GER,BLOCK,2,25,16024,1
2,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,BLOCK,2,25,16024,1
3,2,Kästner Pia ,S,0,3,0,3,-100.00,GER,BLOCK,2,25,16024,1
4,3,Cesar Annie ,L,0,0,0,0,,GER,BLOCK,2,25,16024,1
5,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,2,25,16024,1
6,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,2,25,16024,1
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,BLOCK,2,25,16024,1
8,10,Stigrot Lena ,OH,0,1,0,1,-100.00,GER,BLOCK,2,25,16024,1
9,12,Orthmann Hanna ,OH,0,0,3,3,0.00,GER,BLOCK,2,25,16024,1
10,14,Schölzel Marie ,MB,0,1,0,1,-100.00,GER,BLOCK,2,25,16024,1
11,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,2,25,16024,1
12,22,Strubbe Monique ,MB,0,1,1,2,-50.00,GER,BLOCK,2,25,16024,1
13,25,Maase Rica ,O,0,0,0,0,,GER,BLOCK,2,25,16024,1
0,21,Weitzel Camilla ,MB,3,2,3,8,12.50,GER,BLOCK,3,20,16024,0
1,9,Alsmeier Lina ,OH,1,1,2,4,0.00,GER,BLOCK,3,20,16024,0
2,22,Strubbe Monique ,MB,1,0,1,2,50.00,GER,BLOCK,3,20,16024,0
3,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,BLOCK,3,20,16024,0
4,2,Kästner Pia ,S,0,0,0,0,,GER,BLOCK,3,20,16024,0
5,3,Cesar Annie ,L,0,0,0,0,,GER,BLOCK,3,20,16024,0
6,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,3,20,16024,0
7,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,3,20,16024,0
8,6,Stautz Antonia ,OH,0,0,0,0,,GER,BLOCK,3,20,16024,0
9,10,Stigrot Lena ,OH,0,0,1,1,0.00,GER,BLOCK,3,20,16024,0
10,12,Orthmann Hanna ,OH,0,0,1,1,0.00,GER,BLOCK,3,20,16024,0
11,14,Schölzel Marie ,MB,0,0,0,0,,GER,BLOCK,3,20,16024,0
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,3,20,16024,0
13,25,Maase Rica ,O,0,0,0,0,,GER,BLOCK,3,20,16024,0
0,12,Orthmann Hanna ,OH,1,1,1,3,0.00,GER,BLOCK,4,25,16024,1
1,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,BLOCK,4,25,16024,1
2,2,Kästner Pia ,S,0,0,1,1,0.00,GER,BLOCK,4,25,16024,1
3,3,Cesar Annie ,L,0,0,0,0,,GER,BLOCK,4,25,16024,1
4,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,4,25,16024,1
5,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,4,25,16024,1
6,6,Stautz Antonia ,OH,0,0,0,0,,GER,BLOCK,4,25,16024,1
7,9,Alsmeier Lina ,OH,0,0,0,0,,GER,BLOCK,4,25,16024,1
8,10,Stigrot Lena ,OH,0,0,1,1,0.00,GER,BLOCK,4,25,16024,1
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,BLOCK,4,25,16024,1
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,4,25,16024,1
11,21,Weitzel Camilla ,MB,0,1,3,4,-25.00,GER,BLOCK,4,25,16024,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,BLOCK,4,25,16024,1
13,25,Maase Rica ,O,0,0,0,0,,GER,BLOCK,4,25,16024,1
0,16,Baijens Indy ,MB,3,5,6,14,-14.29,NED,BLOCK,0,0,16024,
1,5,Knollema Jolien ,OH,2,0,1,3,66.67,NED,BLOCK,0,0,16024,
2,23,Timmerman Eline ,MB,2,5,8,15,-20.00,NED,BLOCK,0,0,16024,
3,1,Knip Kirsten ,L,0,0,0,0,,NED,BLOCK,0,0,16024,
4,3,Jasper Hester ,OH,0,1,0,1,-100.00,NED,BLOCK,0,0,16024,
5,10,van Aalen Sarah ,S,0,2,1,3,-66.67,NED,BLOCK,0,0,16024,
6,13,de Haan Jolijn ,O,0,0,0,0,,NED,BLOCK,0,0,16024,
7,14,Dijkema Laura (C),S,0,0,3,3,0.00,NED,BLOCK,0,0,16024,
8,17,Vos Iris ,OH,0,0,0,0,,NED,BLOCK,0,0,16024,
9,21,Stuut Britte ,MB,0,0,0,0,,NED,BLOCK,0,0,16024,
10,24,Mulder Vera ,OH,0,1,2,3,-33.33,NED,BLOCK,0,0,16024,
11,25,Reesink Florien ,L,0,0,0,0,,NED,BLOCK,0,0,16024,
12,26,Dambrink Elles ,O,0,1,0,1,-100.00,NED,BLOCK,0,0,16024,
13,33,Marring Nova ,OH,0,0,1,1,0.00,NED,BLOCK,0,0,16024,
0,23,Timmerman Eline ,MB,1,2,3,6,-16.67,NED,BLOCK,1,21,16024,0
1,1,Knip Kirsten ,L,0,0,0,0,,NED,BLOCK,1,21,16024,0
2,3,Jasper Hester ,OH,0,1,0,1,-100.00,NED,BLOCK,1,21,16024,0
3,5,Knollema Jolien ,OH,0,0,0,0,,NED,BLOCK,1,21,16024,0
4,10,van Aalen Sarah ,S,0,0,0,0,,NED,BLOCK,1,21,16024,0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,BLOCK,1,21,16024,0
6,14,Dijkema Laura (C),S,0,0,2,2,0.00,NED,BLOCK,1,21,16024,0
7,16,Baijens Indy ,MB,0,2,1,3,-66.67,NED,BLOCK,1,21,16024,0
8,17,Vos Iris ,OH,0,0,0,0,,NED,BLOCK,1,21,16024,0
